epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,1863.64,1.77351,1.29012,0.00344,0.64535,0.6202,0.64555,0.2663,2.01291,1.36433,0.00607,0.0011684,0.0011684,0.0011684
65,1893,1.83986,1.38787,0.00362,0.61429,0.60487,0.59781,0.24702,1.96407,1.46093,0.0057,0.0011552,0.0011552,0.0011552
66,1924.62,1.8057,1.29381,0.00348,0.63851,0.58507,0.62136,0.2617,1.93643,1.50631,0.00566,0.001142,0.001142,0.001142
67,1952.69,1.79819,1.33993,0.00361,0.66736,0.59605,0.65482,0.28443,1.94542,1.30702,0.00576,0.0011288,0.0011288,0.0011288
68,1980.9,1.7643,1.27083,0.00348,0.63559,0.62349,0.65553,0.29112,1.90984,1.35334,0.00548,0.0011156,0.0011156,0.0011156
69,2009.06,1.80044,1.28359,0.00368,0.64053,0.60243,0.64106,0.27835,1.95455,1.40517,0.00572,0.0011024,0.0011024,0.0011024
70,2037.41,1.83929,1.31889,0.00368,0.59486,0.58068,0.5983,0.25799,1.94301,1.49567,0.0056,0.0010892,0.0010892,0.0010892
71,2065.85,1.77777,1.31981,0.00354,0.65304,0.60373,0.64733,0.28397,1.89453,1.38699,0.00556,0.001076,0.001076,0.001076
72,2102.17,1.81149,1.31271,0.00349,0.61661,0.573,0.60563,0.26324,1.9325,1.41172,0.00564,0.0010628,0.0010628,0.0010628
73,2139.28,1.77676,1.28255,0.00356,0.649,0.57739,0.63533,0.28231,1.91801,1.37221,0.00556,0.0010496,0.0010496,0.0010496
74,2168.2,1.77105,1.25173,0.00356,0.55814,0.57629,0.57526,0.24067,1.99477,1.52364,0.00589,0.0010364,0.0010364,0.0010364
75,2209.05,1.7499,1.23458,0.00342,0.6273,0.55981,0.60268,0.26134,1.94694,1.48501,0.00565,0.0010232,0.0010232,0.0010232
76,2237.58,1.79853,1.25727,0.00352,0.62542,0.5697,0.6168,0.26615,1.95338,1.49333,0.00573,0.00101,0.00101,0.00101
77,2266.07,1.81651,1.2983,0.0035,0.65973,0.59056,0.65548,0.29092,1.92306,1.34626,0.00555,0.0009968,0.0009968,0.0009968
78,2294.7,1.8027,1.27742,0.00336,0.65646,0.59276,0.64801,0.29141,1.87808,1.35842,0.00542,0.0009836,0.0009836,0.0009836
79,2323.28,1.76544,1.22573,0.00337,0.65478,0.63227,0.65468,0.29764,1.88161,1.31659,0.00547,0.0009704,0.0009704,0.0009704
80,2351.89,1.79176,1.25954,0.00348,0.61944,0.62535,0.63483,0.28343,1.93128,1.36506,0.00569,0.0009572,0.0009572,0.0009572
81,2380.38,1.74571,1.22316,0.00353,0.55786,0.57739,0.57384,0.24139,1.95684,1.61041,0.00567,0.000944,0.000944,0.000944
82,2408.95,1.77119,1.25297,0.0035,0.59124,0.60044,0.59898,0.25605,1.96497,1.48235,0.00566,0.0009308,0.0009308,0.0009308
83,2437.49,1.72884,1.16677,0.00337,0.62368,0.65642,0.66387,0.29221,1.91379,1.34666,0.00564,0.0009176,0.0009176,0.0009176
84,2466.06,1.74961,1.15341,0.00328,0.62994,0.64764,0.65273,0.2718,1.95074,1.40718,0.00571,0.0009044,0.0009044,0.0009044
85,2494.66,1.74586,1.15751,0.00333,0.63336,0.64764,0.63926,0.27154,1.97656,1.39204,0.00593,0.0008912,0.0008912,0.0008912
86,2523.46,1.75356,1.18266,0.00353,0.63985,0.63008,0.64657,0.27329,1.96589,1.40643,0.00579,0.000878,0.000878,0.000878
87,2551.82,1.70906,1.14481,0.0034,0.63737,0.61931,0.6382,0.27124,1.98126,1.45065,0.00591,0.0008648,0.0008648,0.0008648
88,2580.4,1.69767,1.14326,0.00339,0.59486,0.6202,0.6083,0.25912,1.99495,1.46834,0.00588,0.0008516,0.0008516,0.0008516
89,2608.68,1.71392,1.10444,0.00337,0.63685,0.64544,0.64653,0.27492,1.98382,1.37173,0.00586,0.0008384,0.0008384,0.0008384
90,2637.34,1.74773,1.18921,0.00335,0.61129,0.64562,0.62253,0.27746,1.92719,1.36145,0.00561,0.0008252,0.0008252,0.0008252
91,2665.79,1.74675,1.18441,0.00346,0.69276,0.58507,0.64549,0.28802,1.92292,1.35472,0.00566,0.000812,0.000812,0.000812
92,2694.23,1.74291,1.12599,0.0033,0.6545,0.61251,0.62802,0.27359,1.95406,1.38689,0.00577,0.0007988,0.0007988,0.0007988
93,2722.61,1.73431,1.14982,0.00335,0.62925,0.62239,0.62647,0.27326,1.95979,1.43731,0.00573,0.0007856,0.0007856,0.0007856
