epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,9835.08,1.50112,6.05054,1.44108,0.3347,0.42202,0.31861,0.08864,2.38138,12.6091,1.87169,0.00082539,0.00082539,0.00082539
66,9984.53,1.51199,6.02454,1.44393,0.37472,0.46589,0.35098,0.10379,2.2573,10.0952,1.71824,0.000815959,0.000815959,0.000815959
67,10133.9,1.52848,6.04142,1.47598,0.33847,0.43235,0.31823,0.09104,2.347,11.114,1.78902,0.000806528,0.000806528,0.000806528
68,10286.2,1.48584,6.00387,1.43268,0.39915,0.55935,0.36864,0.10447,2.31402,13.9166,1.76818,0.000797096,0.000797096,0.000797096
69,10441,1.51407,6.08143,1.4516,0.41979,0.47062,0.38583,0.11441,2.32388,14.7809,1.81097,0.000787665,0.000787665,0.000787665
70,10595.6,1.50144,5.90519,1.44624,0.44118,0.46436,0.39464,0.11411,2.24375,13.8941,1.70932,0.000778233,0.000778233,0.000778233
71,10751.2,1.51874,5.99923,1.46078,0.37304,0.43746,0.33935,0.10051,2.34755,12.0965,1.73357,0.000768802,0.000768802,0.000768802
72,10905.6,1.49529,5.85147,1.43213,0.45741,0.4401,0.39764,0.11898,2.31989,13.9669,1.7931,0.000759371,0.000759371,0.000759371
73,11057.2,1.52136,5.98516,1.44307,0.39244,0.47946,0.37847,0.11526,2.30305,16.8332,1.76516,0.000749939,0.000749939,0.000749939
74,11209.5,1.49475,5.90446,1.4494,0.38337,0.47627,0.36508,0.10659,2.353,14.3813,1.82018,0.000740508,0.000740508,0.000740508
75,11364.6,1.46361,5.75147,1.43955,0.39486,0.50921,0.34933,0.10216,2.33597,13.0884,1.77804,0.000731076,0.000731076,0.000731076
76,11520,1.51209,5.86216,1.44506,0.40094,0.56638,0.38365,0.1144,2.32683,23.6387,1.75808,0.000721645,0.000721645,0.000721645
77,11671.3,1.51027,5.84326,1.4599,0.36138,0.49303,0.36592,0.10699,2.30573,10.7944,1.75984,0.000712214,0.000712214,0.000712214
78,11826.3,1.49743,5.74913,1.45439,0.39159,0.44688,0.37025,0.10842,2.33217,12.5289,1.79695,0.000702782,0.000702782,0.000702782
79,11979,1.47233,5.73637,1.42957,0.2623,0.47672,0.32499,0.09647,2.34021,9.27163,1.79636,0.000693351,0.000693351,0.000693351
80,12127.6,1.48816,5.86522,1.42353,0.44481,0.44891,0.39503,0.11703,2.2845,10.8777,1.73813,0.000683919,0.000683919,0.000683919
81,12276.1,1.46253,5.55022,1.39646,0.37652,0.46884,0.36423,0.10654,2.38699,11.3671,1.80973,0.000674488,0.000674488,0.000674488
82,12429.8,1.49539,5.70058,1.45522,0.45019,0.48571,0.40949,0.11632,2.32605,10.9321,1.79828,0.000665057,0.000665057,0.000665057
83,12585,1.48271,5.78842,1.42177,0.41178,0.58292,0.41651,0.12439,2.35076,26.756,1.82477,0.000655625,0.000655625,0.000655625
84,12734.6,1.47542,5.59598,1.43048,0.42924,0.55074,0.4355,0.13062,2.30952,24.074,1.76901,0.000646194,0.000646194,0.000646194
85,12883.8,1.45405,5.69424,1.3898,0.45861,0.40193,0.38419,0.10612,2.34696,14.2902,1.83473,0.000636762,0.000636762,0.000636762
86,13033,1.48538,5.59436,1.42953,0.4511,0.53759,0.41864,0.11914,2.33775,12.5523,1.76539,0.000627331,0.000627331,0.000627331
87,13182.4,1.45623,5.49222,1.409,0.40956,0.51271,0.40433,0.11685,2.32735,11.2852,1.75955,0.0006179,0.0006179,0.0006179
88,13331.3,1.44536,5.57395,1.41186,0.34512,0.47903,0.30887,0.08945,2.35596,13.6132,1.79416,0.000608468,0.000608468,0.000608468
89,13479,1.4593,5.43655,1.40117,0.30693,0.45959,0.31024,0.08338,2.41814,11.4685,1.85721,0.000599037,0.000599037,0.000599037
90,13626.3,1.44719,5.56811,1.42884,0.39168,0.4677,0.32704,0.09173,2.39348,15.3815,1.83801,0.000589605,0.000589605,0.000589605
91,13774.7,1.45371,5.49687,1.40726,0.42627,0.47052,0.3719,0.10442,2.37519,17.6231,1.85795,0.000580174,0.000580174,0.000580174
92,13923.2,1.42018,5.32672,1.38367,0.44675,0.49368,0.40331,0.11535,2.32421,13.5262,1.80083,0.000570743,0.000570743,0.000570743
93,14072.7,1.43784,5.4655,1.38234,0.34139,0.36562,0.31861,0.07848,2.43175,13.377,1.88862,0.000561311,0.000561311,0.000561311
94,14228.8,1.44766,5.3926,1.37898,0.37788,0.51332,0.38282,0.10354,2.37924,9.0839,1.78191,0.00055188,0.00055188,0.00055188
95,14384.3,1.42649,5.35296,1.39593,0.38785,0.39475,0.35574,0.09747,2.3503,10.4382,1.78865,0.000542448,0.000542448,0.000542448
96,14533.7,1.44158,5.31469,1.38801,0.34914,0.47216,0.36623,0.1019,2.37344,11.9922,1.84949,0.000533017,0.000533017,0.000533017
97,14683.6,1.43353,5.25149,1.40959,0.37666,0.51054,0.37499,0.10043,2.44072,11.7898,1.89429,0.000523586,0.000523586,0.000523586
98,14830.7,1.42354,5.3157,1.37674,0.36498,0.48036,0.35678,0.09905,2.38935,10.6527,1.80704,0.000514154,0.000514154,0.000514154
99,14984.3,1.43334,5.28322,1.39237,0.43352,0.54709,0.4221,0.11955,2.39212,11.1739,1.81137,0.000504723,0.000504723,0.000504723
100,15133.2,1.41225,5.32359,1.38407,0.39127,0.54671,0.3579,0.10377,2.2835,12.4259,1.74539,0.000495291,0.000495291,0.000495291
101,15285.7,1.3897,5.07313,1.37109,0.48805,0.46332,0.44208,0.12763,2.3481,15.094,1.8259,0.00048586,0.00048586,0.00048586
102,15437.1,1.42201,5.12681,1.37609,0.37654,0.54524,0.36091,0.10675,2.32688,10.8286,1.78173,0.000476429,0.000476429,0.000476429
103,15586.4,1.39285,5.23054,1.36415,0.37626,0.49499,0.36082,0.10279,2.37382,10.5414,1.8071,0.000466997,0.000466997,0.000466997
104,15738.9,1.37407,5.08474,1.37336,0.4067,0.51887,0.39503,0.11473,2.34056,10.3363,1.79654,0.000457566,0.000457566,0.000457566
105,15887.3,1.38794,5.00411,1.37614,0.43451,0.52696,0.41221,0.11589,2.35646,11.2494,1.80013,0.000448134,0.000448134,0.000448134
106,16042.4,1.39287,5.1821,1.37852,0.46271,0.49268,0.42099,0.12308,2.3425,11.0973,1.773,0.000438703,0.000438703,0.000438703
107,16196.2,1.39104,5.06724,1.36702,0.47403,0.5116,0.4341,0.12806,2.3326,12.7269,1.80209,0.000429272,0.000429272,0.000429272
108,16344.4,1.364,4.9709,1.38229,0.40108,0.62205,0.44304,0.13305,2.3105,20.2108,1.77708,0.00041984,0.00041984,0.00041984
109,16495.3,1.38393,5.08769,1.36925,0.45727,0.42461,0.38767,0.10993,2.42803,14.1807,1.89018,0.000410409,0.000410409,0.000410409
110,16644.8,1.35579,5.05301,1.35794,0.44895,0.46649,0.40378,0.12068,2.37078,12.8123,1.83396,0.000400977,0.000400977,0.000400977
111,16794.2,1.38144,5.08972,1.37884,0.50213,0.4619,0.44313,0.12497,2.35635,17.8778,1.85286,0.000391546,0.000391546,0.000391546
112,16943.6,1.36493,4.95054,1.33817,0.47602,0.45299,0.41364,0.11565,2.36409,12.8742,1.8472,0.000382115,0.000382115,0.000382115
113,17093,1.36405,4.91178,1.35907,0.43937,0.52899,0.4302,0.11882,2.37468,19.2242,1.90601,0.000372683,0.000372683,0.000372683
114,17241.7,1.3194,4.89606,1.32085,0.44075,0.40713,0.38908,0.11032,2.40589,12.6557,1.89381,0.000363252,0.000363252,0.000363252
115,17390.9,1.3138,4.77517,1.30925,0.50221,0.46255,0.44497,0.12658,2.35441,12.8895,1.8383,0.00035382,0.00035382,0.00035382
116,17540,1.33369,4.88326,1.33457,0.4541,0.49171,0.44322,0.12518,2.3785,19.785,1.85232,0.000344389,0.000344389,0.000344389
117,17689.5,1.34577,4.96375,1.33401,0.42168,0.53001,0.43094,0.11998,2.36643,18.3389,1.85772,0.000334958,0.000334958,0.000334958
118,17838.9,1.35949,4.98304,1.34773,0.41364,0.47844,0.38445,0.10601,2.43428,20.0674,1.87151,0.000325526,0.000325526,0.000325526
119,17988.6,1.32592,4.75038,1.33556,0.45185,0.46534,0.41903,0.11781,2.38868,15.5658,1.84919,0.000316095,0.000316095,0.000316095
120,18137.9,1.31428,4.93044,1.30826,0.47029,0.41026,0.39007,0.11452,2.38459,16.6194,1.8594,0.000306663,0.000306663,0.000306663
121,18287.1,1.35097,4.71087,1.33668,0.43786,0.49121,0.43517,0.12042,2.35286,19.6642,1.85359,0.000297232,0.000297232,0.000297232
122,18440.9,1.30976,4.71897,1.31733,0.44459,0.45077,0.37965,0.09731,2.37239,14.6099,1.83863,0.000287801,0.000287801,0.000287801
123,18595.5,1.31912,4.86749,1.32948,0.4728,0.42267,0.40689,0.10919,2.34659,13.2819,1.81684,0.000278369,0.000278369,0.000278369
124,18744.7,1.32475,4.73284,1.33007,0.4823,0.48627,0.44832,0.12495,2.38357,13.1979,1.87282,0.000268938,0.000268938,0.000268938
125,18896.9,1.33633,4.81441,1.32213,0.51481,0.46352,0.46471,0.1316,2.34762,14.9305,1.85534,0.000259506,0.000259506,0.000259506
126,19045.9,1.29665,4.71117,1.29863,0.46475,0.46131,0.40298,0.10814,2.41744,12.6271,1.91732,0.000250075,0.000250075,0.000250075
127,19194,1.30997,4.82833,1.32136,0.43301,0.49188,0.40846,0.10661,2.3617,11.9466,1.86055,0.000240644,0.000240644,0.000240644
128,19346.6,1.32291,4.70552,1.3202,0.46678,0.46016,0.41331,0.11239,2.35754,12.6583,1.83668,0.000231212,0.000231212,0.000231212
129,19501.3,1.28939,4.72413,1.30164,0.41685,0.50952,0.40073,0.10991,2.37431,11.6133,1.85322,0.000221781,0.000221781,0.000221781
130,19655.5,1.28398,4.75958,1.29343,0.40311,0.49594,0.38279,0.1063,2.37424,10.6549,1.84904,0.000212349,0.000212349,0.000212349
131,19809.8,1.27602,4.5112,1.28219,0.42229,0.5084,0.39356,0.10816,2.37881,11.8731,1.87845,0.000202918,0.000202918,0.000202918
132,19964,1.27223,4.47105,1.28011,0.44231,0.46747,0.38828,0.10728,2.37532,14.1358,1.88457,0.000193487,0.000193487,0.000193487
133,20119.5,1.31366,4.77933,1.32873,0.46146,0.49244,0.40626,0.11313,2.39146,15.8483,1.87687,0.000184055,0.000184055,0.000184055
134,20274.2,1.27231,4.62592,1.29016,0.45129,0.49895,0.41526,0.11499,2.40609,13.0283,1.89053,0.000174624,0.000174624,0.000174624
135,20427.5,1.2656,4.62967,1.27169,0.49827,0.47849,0.43738,0.11954,2.35324,13.2184,1.84827,0.000165192,0.000165192,0.000165192
136,20577.4,1.27674,4.68403,1.29135,0.48841,0.49551,0.43185,0.12178,2.35931,14.8671,1.83849,0.000155761,0.000155761,0.000155761
137,20726.5,1.27236,4.5125,1.2678,0.46523,0.49366,0.41946,0.1229,2.35669,19.5568,1.85901,0.00014633,0.00014633,0.00014633
138,20878.3,1.24888,4.59573,1.289,0.4526,0.47073,0.39574,0.10816,2.40507,13.0192,1.89791,0.000136898,0.000136898,0.000136898
139,21033,1.26249,4.53024,1.29317,0.49042,0.49545,0.43094,0.12403,2.38102,17.0196,1.89672,0.000127467,0.000127467,0.000127467
140,21182.3,1.26748,4.52099,1.27431,0.44706,0.51331,0.41717,0.11549,2.38646,12.0755,1.87784,0.000118035,0.000118035,0.000118035
141,21363.2,1.27875,3.24454,1.03417,0.42883,0.49184,0.40726,0.11163,2.3811,8.93225,1.82714,0.000108604,0.000108604,0.000108604
142,21506.1,1.24983,3.14093,1.02355,0.4231,0.4838,0.38915,0.1065,2.38457,9.04694,1.85239,9.91726e-05,9.91726e-05,9.91726e-05
143,21650.7,1.24455,3.08567,1.03675,0.42728,0.46982,0.38039,0.10876,2.39475,9.16243,1.88075,8.97412e-05,8.97412e-05,8.97412e-05
144,21797.4,1.22144,3.02057,1.01228,0.42572,0.45158,0.38751,0.10665,2.38891,9.34981,1.87451,8.03098e-05,8.03098e-05,8.03098e-05
145,21946.5,1.23183,3.04131,1.00906,0.40021,0.43855,0.38047,0.10394,2.39318,9.61062,1.88468,7.08784e-05,7.08784e-05,7.08784e-05
146,22091.4,1.218,2.9895,1.01881,0.41877,0.45252,0.38091,0.10353,2.39257,9.70481,1.88458,6.1447e-05,6.1447e-05,6.1447e-05
147,22241.2,1.20785,2.99061,1.01519,0.4221,0.45308,0.38112,0.10504,2.39062,9.82165,1.88321,5.20156e-05,5.20156e-05,5.20156e-05
148,22390,1.1997,2.97086,1.00277,0.43715,0.47822,0.41153,0.11248,2.36556,9.79182,1.87514,4.25842e-05,4.25842e-05,4.25842e-05
