epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
58,6967.38,0.99423,0.61189,0.00809,0.72555,0.73911,0.74837,0.43204,1.47149,1.13901,0.01562,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,7088.28,0.99587,0.62046,0.0082,0.73185,0.70858,0.73338,0.42157,1.46499,1.16395,0.0156,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,7206.21,0.98328,0.59866,0.00802,0.72221,0.72923,0.73932,0.42306,1.50797,1.16051,0.0161,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,7325.14,0.96526,0.60114,0.00791,0.73859,0.70319,0.74334,0.43816,1.43933,1.15467,0.01528,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,7444.61,0.95624,0.60118,0.00787,0.71599,0.71711,0.72889,0.42342,1.46211,1.19308,0.01556,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,7565.15,0.95217,0.58639,0.00771,0.72763,0.71441,0.73037,0.41203,1.50104,1.22515,0.01615,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,7686.5,0.94838,0.58159,0.00766,0.71179,0.75853,0.75138,0.4367,1.46067,1.1598,0.01544,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,7806.63,0.9428,0.5814,0.00762,0.70994,0.7207,0.72643,0.41595,1.49162,1.2293,0.01609,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,7926.98,0.93017,0.56385,0.00752,0.73148,0.71314,0.7383,0.42444,1.48292,1.2068,0.01584,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,8050.09,0.92222,0.56243,0.00735,0.73083,0.71932,0.74277,0.4263,1.48884,1.21362,0.01583,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,8172.83,0.91557,0.57409,0.00752,0.71821,0.72744,0.73945,0.42421,1.48106,1.21162,0.01584,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,8298.27,0.91476,0.55582,0.00735,0.72113,0.71262,0.73297,0.42209,1.46999,1.23092,0.01576,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,8419.54,0.90338,0.53397,0.00727,0.72096,0.71621,0.72532,0.41738,1.4808,1.22879,0.01599,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,8539.97,0.89129,0.53981,0.00722,0.71095,0.73597,0.73629,0.42137,1.50221,1.20123,0.01611,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,8660.26,0.88933,0.52711,0.00723,0.73272,0.71519,0.73106,0.4201,1.48789,1.24435,0.01608,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,8781.16,0.87934,0.53916,0.00702,0.72115,0.72295,0.72334,0.41629,1.49821,1.21023,0.01616,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,8901.54,0.86949,0.51699,0.00698,0.72709,0.71181,0.72974,0.41836,1.51759,1.20914,0.01634,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,9021.87,0.86537,0.50333,0.00694,0.74134,0.70768,0.72384,0.41816,1.52332,1.22249,0.0163,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,9142.39,0.86546,0.51863,0.00695,0.74033,0.70156,0.73861,0.42745,1.50977,1.18753,0.01609,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
